,term
140,Buthylated hydroxytoluene
141,protein
142,surfactant modified cellulose nanocrystals
143,Butyl methacrylate
144,surfactant-modified cellulose nanocrystals
145,methyl ethyl ketone peroxide
146,dimethyl terephthalate
147,crosslinked polyester resin
148,Methyl tallow bis-2-hydroxyethyl quaternary ammonium chloride modified montmorillonite
149,Magnesium nitrate
150,Polypropylene glycol
151,biobased polymers
152,PP-g-MA
153,calcined MCM-41 silica
154,Fish gelatin
155,poly(n-butylacrylate)
156,modified s-CNC
157,polypropylene cast film
158,toluene
159,Octadecylamine
160,alkaline ammonia solution
161,M2(HT)2-140 organoclay
162,Brewing spent grains
163,Modified cellulose nanocrystals
164,Poly-l-lactide
165,Surlyn^® ionomer
166,Isotactic polypropylene
167,nanocrystals
168,OCN-MDEA-NCO
169,nano-sized MCM-41 silica
170,nitrocellulose lacquer
171,C. pulcherima
172,C. pulcherima
173,"N,N-Dimethyl formamide"
174,Cellulose
175,cellulose/BN nanobiocomposites
176,cellulose based nanobiocomposites
177,biopolymer cellulose
178,Cellulose nanobiocomposites
179,cellulose microfibres
180,Cellulose/SiC nanobiocomposites
181,Cellulose nanocrystal
182,Cellulose/silicon carbide (cellulose/SiC) nanobiocomposites
183,benzoyl peroxide
184,Microcrystalline cellulose
185,Diglycidyl ether of bisphenol A
186,octadecylbromide
187,soy protein
188,soy flour
189,Soluble soybean polysaccharide
190,Polyethersulfone
191,Jeffamine^®M600
192,[2-(acryloyloxy)ethyl]-trimethylammonium chloride
193,Clay
194,Clay
195,Organoclay
196,organo-montmorillonite
197,organically modified clay
198,organically modified montmorillonite
199,organically modified montmorillonite
200,organically modified montmorillonite
201,organically modified montmorillonite
202,organically modified montmorillonite clay
203,montmorillonite
204,montmorillonite
205,montmorillonite
206,montmorillonite organoclay
207,MMT nanoclays
208,purified sodium montmorillonite
209,Na-montmorillonite
210,Sodium montmorillonite
211,MMT intercalated with octadecylamine
212,Montmorillonite CL120
213,imidazolium treated montmorillonite
214,montmorillonite layered
215,dilute CNC suspension
216,Nano-sized mesoporous MCM-41 silica
217,Cabosil
218,Banana flour
219,Banana aqueous solutions
220,prepromoted polyester resin
221,high-density polyethylene
222,N-methyl diethanol amine
223,Galactomannan
224,Poly(methyl methacrylate)
225,Poly(methyl methacrylate)
226,cocoamphodipropionate
227,Poly(ethylene adipate)diol
228,Pristine
229,pristine montmorillonite
230,olive mills
231,organifier UE400
232,methyl cellulose
233,methyl cellulose
234,MC
235,MC
236,methylcellulose-based edible films
237,MCM-41/PSF MMM
238,MCM-41/PSF MMMs
239,plasticiser
240,monoamine
241,Carrot puree
242,sodium ionomer of poly(ethylene-co-methacrylic acid)
243,lignin
244,lignin alkali
245,DL-α-tocopherol
246,Dialkyl imidazolium salt
247,thiobarbituric acid
248,Cloisite
249,Cloisite 20A
250,Cloisite 6A
251,Cloisite 15A
252,Cloisite 30B
253,Cloisite 30B
254,Cloisite Na^+
255,Cloisite Na^+
256,Cloisite Na^+
257,surfactant modified cellulose nanocrystals s-CNC
258,Ethylene glycol anhydrous
259,methyl methacrylate
260,quaternary ammonium salt
261,sodium sulphite
262,tetra-n-butyl ammonium hydroxide
263,Poly(methyl metacrylate)/montmorillonite
264,methylene diisocyanate
265,poly(3-hydroxybutyrate-co-valerate)
266,poly(3-hydroxybutyrate-co-valerate)
267,polybenzimidazole
268,carboxylmethyl cellulose
269,Greaseproof papers
270,methylene chloride
271,CZ film
272,corn–zein coating
273,OMMT-polypropylene
274,OMMT-polypropylene
275,OMMT-polypropylene
276,OMMT-polypropylene
277,fibres
278,potato starch
279,Native potato starch
280,microfibres
281,corn starch
282,corn starch
283,neat starch
284,Starch powder
285,Wheat straw fibres
286,wheat straw
287,Corn zein
288,Corn zein
289,Corn zein
290,heat sealable corn zein
291,dibutyltindilauryate
292,dibutyltindilauryate
293,dibutyltindilauryate
294,gelatin
295,gelatin
296,Gelatin 200 bloom-fish
297,carbon black/HDPE
298,Nanofil
299,Nanofil^®757
300,polyol
301,polyoxyalkyleneamine
302,dimethyldioctadecylammonium
303,nanosized MCM-41 silica
304,Hydrophobic fumed silica
305,mesoporous MCM-41 nanoparticles
306,poorly exfoliated ZrP nanoplatelets
307,isocyanate-terminated
308,isocyanate-terminated
309,Silicon carbide nano powder
310,fumed silica
311,fumed silica-filled nanocomposites
312,un-modified CNC
